parCodigo,parSiglas,parDenominacion,parColor,rowid
3370,20 JUANA AZURDUY         ,20 JUANA AZURDUY                                                                                    ,13FE0D,327
3371,64 TODOS POR SCIOLI PRESI,64 TODOS POR SCIOLI PRESIDENTE                                                                      ,3E0FE6,328
3372,LISTA 502 B RADICALES POR,LISTA 502 B RADICALES POR FELICIANO                                                                 ,2C396B,329
3373,197 MOVIMIENTO DEPARTAMEN,197 MOVIMIENTO DEPARTAMENTAL FEDERACION                                                             ,2A177A,330
3400,LISTA A TOBA             ,LISTA A TOBA                                                                                        ,590807,331
3401,LISTA CELESTE Y BLANCA K ,LISTA CELESTE Y BLANCA K 1                                                                          ,F9823D,332
3402,LISTA CELESTE Y BLANCA K ,LISTA CELESTE Y BLANCA K 10                                                                         ,994815,333
3403,LISTA CELESTE Y BLANCA K ,LISTA CELESTE Y BLANCA K 2                                                                          ,90992A,334
3404,LISTA CELESTE Y BLANCA K ,LISTA CELESTE Y BLANCA K 4                                                                          ,332AF6,335
3405,LISTA CELESTE Y BLANCA K ,LISTA CELESTE Y BLANCA K 6                                                                          ,F62ACC,336
3406,LISTA P                  ,LISTA P                                                                                             ,4800E1,337
3407,LISTA 1 A AMARILLO       ,LISTA 1 A AMARILLO                                                                                  ,E10233,338
3408,LISTA B AHORA EL PUEBLO  ,LISTA B AHORA EL PUEBLO                                                                             ,806262,339
3409,LISTA C CON TERNURA VENCE,LISTA C CON TERNURA VENCEREMOS                                                                      ,68C1EA,340
3410,VAMOS POR BERISSO        ,VAMOS POR BERISSO                                                                                   ,15AE00,341
3411,LISTA 3 A ROJO           ,LISTA 3 A ROJO                                                                                      ,662A2A,342
3412,LISTA 34                 ,LISTA 34                                                                                            ,15AE66,343
3413,LISTA 300 A ROJO         ,LISTA 300 A ROJO                                                                                    ,E82A2A,344
3414,LISTA CELESTE Y BLANCA K ,LISTA CELESTE Y BLANCA K 8                                                                          ,21F613,345
3415,LISTA SOCIALISMO Y PARTIC,LISTA SOCIALISMO Y PARTICIPACION SP                                                                 ,95B315,346
3416,LISTA M                  ,LISTA M                                                                                             ,2C4C90,347
3417,LISTA C LINEA RENOVADORA ,LISTA C LINEA RENOVADORA                                                                            ,993F3F,348
3418,LISTA D MOVIMIENTO RENOVA,LISTA D MOVIMIENTO RENOVADOR                                                                        ,E1E133,349
3419,LISTA 4 A FUCSIA         ,LISTA 4 A FUCSIA                                                                                    ,00D5EF,350
3420,LISTA B CORRIENTE RENOVAD,LISTA B CORRIENTE RENOVADORA                                                                        ,BC377A,351
3421,LISTA 38                 ,LISTA 38                                                                                            ,12F3F3,352
3422,LISTA 2 A A AMARILLO     ,LISTA 2 A A AMARILLO                                                                                ,E2330F,353
3423,LISTA 36                 ,LISTA 36                                                                                            ,33EA05,354
3424,LISTA 301 A ROJO         ,LISTA 301 A ROJO                                                                                    ,FBCEEB,355
3426,NUEVA ALTERNATIVA CARMEÑA,NUEVA ALTERNATIVA CARMEÑA                                                                           ,C5E565,356
3427,LISTA UNICA              ,LISTA UNICA                                                                                         ,DAF1AC,357
3428,LISTA UNICA              ,LISTA UNICA                                                                                         ,D56580,358
3429,LISTA 6 A B AMARILLO     ,LISTA 6 A B AMARILLO                                                                                ,FCDE03,359
3430,COMPROMISO PRINGLES      ,COMPROMISO PRINGLES                                                                                 ,5454CC,360
3431,LISTA BLANCA             ,LISTA BLANCA                                                                                        ,1931D4,361
3432,UNA NUEVA OPORTUNIDAD SUA,UNA NUEVA OPORTUNIDAD SUARENSE-UNOS                                                                 ,FBDD02,362
3433,LISTA E FUERZA RENOVADORA,LISTA E FUERZA RENOVADORA                                                                           ,AE1533,363
3435,LISTA 11 DE MAYO         ,LISTA 11 DE MAYO                                                                                    ,997B15,364
3436,LISTA 1 MARPLATENSE      ,LISTA 1 MARPLATENSE                                                                                 ,480048,365
3437,UNION POR MORON          ,UNION POR MORON                                                                                     ,565674,366
3438,SOMOS RODRIGUEZ 03       ,SOMOS RODRIGUEZ 03                                                                                  ,7EC1DB,367
3439,LISTA UNIDAD             ,LISTA UNIDAD                                                                                        ,ABE7ED,368
3440,LISTA UNICA              ,LISTA UNICA                                                                                         ,8AA76F,369
3441,LISTA 1 TODOS POR JUNIN  ,LISTA 1 TODOS POR JUNIN                                                                             ,005D2A,370
3442,UNION DEL PUEBLO LA PLATA,UNION DEL PUEBLO LA PLATA                                                                           ,AE4899,371
3443,LISTA F UNION RENOVADORA ,LINEA F UNION RENOVADORA                                                                            ,335D2A,372
3444,LISTA E                  ,LISTA E                                                                                             ,0C3F00,373
3445,ACCION CIUDADANA         ,ACCION CIUDADANA                                                                                    ,1D4407,374
3446,LISTA 1                  ,LISTA 1                                                                                             ,31FEEE,375
3447,LISTA 301 A ROJO         ,LISTA 301 A ROJO                                                                                    ,EC18D1,376
3448,LISTA 302 A ROJO         ,LISTA 302 A ROJO                                                                                    ,414E9E,377
3449,UNIDOS POR NECOCHEA      ,UNIDOS POR NECOCHEA                                                                                 ,3F4A8F,378
3450,LISTA PRIMERO PINAMAR    ,LISTA PRIMERO PINAMAR                                                                               ,8C1D1C,379
3451,LISTA 1                  ,LISTA 1                                                                                             ,0F9770,380
3452,LISTA A                  ,LISTA A                                                                                             ,A5CC3F,381
3453,BOEING 737               ,BOEING 737                                                                                          ,CC5D2A,382
3454,LISTA ACCION BLANCA 1    ,LISTA ACCION BLANCA 1                                                                               ,E11500,383
3455,RIVADAVIA PRIMERO        ,RIVADAVIA PRIMERO                                                                                   ,332A90,384
3456,ENCUENTRO A              ,ENCUENTRO A                                                                                         ,5DF633,385
3457,JUNTOS PODEMOS           ,JUNTOS PODEMOS                                                                                      ,E12015,386
3458,PARA UN SAN ISIDRO MEJOR ,PARA UN SAN ISIDRO MEJOR                                                                            ,626280,387
3459,UNION VECINALISTA DIGNIDA,UNION VECINALISTA DIGNIDAD PARA TODOS                                                               ,B9B800,388
3460,ACUERDO CIUDADANO X TRENQ,ACUERDO CIUDADANO X TRENQUE LAUQUEN                                                                 ,2AC333,389
3461,LISTA DE ACCION COMUNAL  ,LISTA DE ACCION COMUNAL                                                                             ,690069,390
3462,LISTA UNICA A            ,LISTA UNICA A                                                                                       ,66C35D,391
3463,LISTA UNEN POR VILLARINO ,LISTA UNEN POR VILLARINO V                                                                          ,971533,392
3464,LISTA UNICA              ,LISTA UNICA                                                                                         ,2AE1C1,393
3465,LISTA 1                  ,LISTA 1                                                                                             ,AAE62A,394
3466,LISTA UNIDAD             ,LISTA UNIDAD                                                                                        ,4A4C72,395
3471,LISTA 1 A                ,LISTA 1 A                                                                                           ,7E337E,396
3474,SE PUEDE                 ,SE PUEDE                                                                                            ,00E115,397
3477,AGRUPACION RENOVACION SAN,AGRUPACION RENOVACION SAN ISIDRO R                                                                  ,E1F3EF,398
3500,LISTA 501 A UNIDOS POR UN,LISTA 501 A UNIDOS POR UNA NUEVA ALTERNATIVA                                                        ,BCFAB6,399
3501,LISTA 503 A 20 DE JUNIO  ,LISTA 503 A 20 DE JUNIO                                                                             ,F312F3,400
3502,LISTA A CATAMARCA PUEDE M,LISTA A CATAMARCA PUEDE MAS Y MEJOR                                                                 ,CDE118,401
3503,LISTA B UNIDAD Y CAMBIO  ,LISTA B UNIDAD Y CAMBIO                                                                             ,66001A,402
3504,UNIDAD-A                 ,UNIDAD-A                                                                                            ,11E31F,403
3505,LISTA 1 A UNIDAD ROJO    ,LISTA 1 A UNIDAD ROJO                                                                               ,D16A8F,404
3506,LISTA A                  ,LISTA A                                                                                             ,2CE8C1,405
3507,LISTA A                  ,LISTA A                                                                                             ,EA7AB3,406
3508,LISTA B                  ,LISTA B                                                                                             ,C01B03,407
3509,LISTA A                  ,LISTA A                                                                                             ,CC5454,408
3510,LISTA B                  ,LISTA B                                                                                             ,EEACC8,409
3511,MST                      ,MST                                                                                                 ,2FF217,410
3512,MOVIMIENTO LIBRES DEL SUR,MOVIMIENTO LIBRES DEL SUR                                                                           ,C32A66,411
3513,GEN LISTA A              ,GEN LISTA A                                                                                         ,90CC2A,412
3514,PARTIDO OBRERO           ,PARTIDO OBRERO                                                                                      ,99F65D,413
3515,INSTRUMENTO ELECTORAL    ,INSTRUMENTO ELECTORAL                                                                               ,6B6BA7,414
3516,LISTA C                  ,LISTA C                                                                                             ,7513F0,415
3517,LISTA D                  ,LISTA D                                                                                             ,30F318,416
3518,LISTA E                  ,LISTA E                                                                                             ,9FBCA2,417
3519,LISTA C                  ,LISTA C                                                                                             ,AE6615,418
3520,LISTA B                  ,LISTA B                                                                                             ,C35DCC,419
3521,LISTA C                  ,LISTA C                                                                                             ,F6992A,420
3522,LISTA F                  ,LISTA F                                                                                             ,663FA5,421
3523,LISTA G                  ,LISTA G                                                                                             ,1D0843,422
3530,LISTA CELESTE Y BLANCA K , CELESTE Y BLANCA K NESTOR KIRCHNER                                                                 ,285004,423
3531,LISTA A MUCHOS POR CHUBUT,LISTA A MUCHOS POR CHUBUT                                                                           ,7124FB,424
3532,LISTA IGUALDAD Y DECENCIA,LISTA IGUALDAD Y DECENCIA                                                                           ,5663D1,425
3533,LISTA A JUSTICIA Y DIGNID,LISTA A JUSTICIA Y DIGNIDAD                                                                         ,547DA4,426
3534,LISTA TRICOLOR           ,LISTA TRICOLOR                                                                                      ,BF3231,427
3535,LISTA A EL VERDADERO CAMB,LISTA A EL VERDADERO CAMBIO                                                                         ,24ACA3,428
3536,LISTA I ACTITUD          ,LISTA I ACTITUD                                                                                     ,BA0054,429
3537,LISTA A UNIDAD           ,LISTA A UNIDAD                                                                                      ,00723F,430
3538,LISTA FEDERAL Y POPULAR R,LISTA FEDERAL Y POPULAR ROJA                                                                        ,F62A33,431
3539,LISTA A POR SIEMPRE CHUBU,LISTA A POR SIEMPRE CHUBUT                                                                          ,F66690,432
