3017;CAMBIAS VOS CAMBIA PICO TRUNCADO - PICO TRUNCADO  ;CAMBIAS VOS CAMBIA PICO TRUNCADO - PICO TRUNCADO                                                    ;
3018;CAMBIEMOS RIO GALLEGOS- RIO GALLEGOS              ;CAMBIEMOS RIO GALLEGOS- RIO GALLEGOS                                                                ;
3019;CAMINO A LA VICTORIA - LAS HERAS                  ;CAMINO A LA VICTORIA - LAS HERAS                                                                    ;
3020;CAPACIDAD Y DEDICACION - 28 DE NOVIEMBRE          ;CAPACIDAD Y DEDICACION - 28 DE NOVIEMBRE                                                            ;
3021;COMPARTIR GREGORES - GOBERNADOR GREGORES          ;COMPARTIR GREGORES - GOBERNADOR GREGORES                                                            ;
3022;COMPROMISO POR PUERTO DESEADO - PUERTO DESEADO    ;COMPROMISO POR PUERTO DESEADO - PUERTO DESEADO                                                      ;
3023;COMPROMISO POR SANTA CRUZ - PROVINCIAL            ;COMPROMISO POR SANTA CRUZ - PROVINCIAL                                                              ;
3024;CONSTRUYAMOS JUNTOS EN RIO GALLEGOS - RIO GALLEGOS;CONSTRUYAMOS JUNTOS EN RIO GALLEGOS - RIO GALLEGOS                                                  ;
3025;CONSTRUYENDO KOLINA - LAS HERAS                   ;CONSTRUYENDO KOLINA - LAS HERAS                                                                     ;
3026;CRECIMIENTO Y PROGRESO - RIO TURBIO               ;CRECIMIENTO Y PROGRESO - RIO TURBIO                                                                 ;
3027;CREER ES CREAR - LAS HERAS                        ;CREER ES CREAR - LAS HERAS                                                                          ;
3028;DESARROLLO PARA CALAFATE - EL CALAFATE            ;DESARROLLO PARA CALAFATE - EL CALAFATE                                                              ;
3029;DESARROLLO RIO TURBIO - RIO TURBIO                ;DESARROLLO RIO TURBIO - RIO TURBIO                                                                  ;
3030;DESEADENSES UNIDOS - PUERTO DESEADO               ;DESEADENSES UNIDOS - PUERTO DESEADO                                                                 ;
3031;DESEADO VA A VIVIR MEJOR - PUERTO DESEADO         ;DESEADO VA A VIVIR MEJOR - PUERTO DESEADO                                                           ;
3032;EL CALAFATE Y VOS - EL CALAFATE                   ;EL CALAFATE Y VOS - EL CALAFATE                                                                     ;
3033;EL CAMBIO EN CALAFATE - EL CALAFATE               ;EL CAMBIO EN CALAFATE - EL CALAFATE                                                                 ;
3034;EL CAMBIO ES DE TODOS - LAS HERAS                 ;EL CAMBIO ES DE TODOS - LAS HERAS                                                                   ;
3035;EL CAMBIO JUSTO - 28 DE NOVIEMBRE                 ;EL CAMBIO JUSTO - 28 DE NOVIEMBRE                                                                   ;
3036;EL CAMBIO JUSTO - CALETA OLIVIA                   ;EL CAMBIO JUSTO - CALETA OLIVIA                                                                     ;
3037;EL CAMBIO JUSTO - PIEDRA BUENA                    ;EL CAMBIO JUSTO - PIEDRA BUENA                                                                      ;
3038;EL CAMBIO JUSTO - PROVINCIAL                      ;EL CAMBIO JUSTO - PROVINCIAL                                                                        ;
3039;EL CAMBIO JUSTO - PUERTO DESEADO                  ;EL CAMBIO JUSTO - PUERTO DESEADO                                                                    ;
3040;EL CAMBIO JUSTO - RIO GALLEGOS                    ;EL CAMBIO JUSTO - RIO GALLEGOS                                                                      ;
3041;EL CAMBIO JUSTO - RIO TURBIO                      ;EL CAMBIO JUSTO - RIO TURBIO                                                                        ;
3042;EL CAMBIO YA EMPEZO - PICO TRUNCADO               ;EL CAMBIO YA EMPEZO - PICO TRUNCADO                                                                 ;
3043;EL CAMINO DEL CAMBIO - PROVINCIAL                 ;EL CAMINO DEL CAMBIO - PROVINCIAL                                                                   ;
3044;EL CAMINO DEL CAMBIO - RIO GALLEGOS               ;EL CAMINO DEL CAMBIO - RIO GALLEGOS                                                                 ;
3045;EL CAMINO DEL CAMBIO - SAN JULIAN                 ;EL CAMINO DEL CAMBIO - SAN JULIAN                                                                   ;
3046;EMPIEZA EL CAMBIO - PTO. DESEADO                  ;EMPIEZA EL CAMBIO - PTO. DESEADO                                                                    ;
3047;ENCUENTRO CIUDADANO - EL CALAFATE                 ;ENCUENTRO CIUDADANO - EL CALAFATE                                                                   ;
3048;ENCUENTRO CIUDADANO - PICO TRUNCADO               ;ENCUENTRO CIUDADANO - PICO TRUNCADO                                                                 ;
3049;ENCUENTRO CIUDADANO - PUERTO DESEADO              ;ENCUENTRO CIUDADANO - PUERTO DESEADO                                                                ;
3050;ENCUENTRO CIUDADANO - RIO GALLEGOS                ;ENCUENTRO CIUDADANO - RIO GALLEGOS                                                                  ;
3051;ENCUENTRO CIUDADANO POR SANTA CRUZ                ;ENCUENTRO CIUDADANO POR SANTA CRUZ                                                                  ;
3052;FIRMES Y DIGNOS - CALETA OLIVIA                   ;FIRMES Y DIGNOS - CALETA OLIVIA                                                                     ;
3053;FORJAR LAS HERAS - LAS HERAS                      ;FORJAR LAS HERAS - LAS HERAS                                                                        ;
3054;FRENTE DE LA ESPERANZA - PUERTO DESEADO           ;FRENTE DE LA ESPERANZA - PUERTO DESEADO                                                             ;
3055;FRENTE IZQUIERDA Y LOS TRABAJADORES               ;FRENTE IZQUIERDA Y LOS TRABAJADORES                                                                 ;
3056;FRENTE IZQUIERDA Y LOS TRABAJADORES - 28 DE NOVIEM;FRENTE IZQUIERDA Y LOS TRABAJADORES - 28 DE NOVIEMBRE                                               ;
3057;FRENTE IZQUIERDA Y LOS TRABAJADORES - CALETA OLIVI;FRENTE IZQUIERDA Y LOS TRABAJADORES - CALETA OLIVIA                                                 ;
3058;FRENTE IZQUIERDA Y LOS TRABAJADORES - EL CALAFATE ;FRENTE IZQUIERDA Y LOS TRABAJADORES - EL CALAFATE                                                   ;
3059;FRENTE IZQUIERDA Y LOS TRABAJADORES - GOB. GREGORE;FRENTE IZQUIERDA Y LOS TRABAJADORES - GOB. GREGORES                                                 ;
3060;FRENTE IZQUIERDA Y LOS TRABAJADORES - LAS HERAS   ;FRENTE IZQUIERDA Y LOS TRABAJADORES - LAS HERAS                                                     ;
3061;FRENTE IZQUIERDA Y LOS TRABAJADORES - LOS ANTIGUOS;FRENTE IZQUIERDA Y LOS TRABAJADORES - LOS ANTIGUOS                                                  ;
3062;FRENTE IZQUIERDA Y LOS TRABAJADORES - PERITO MOREN;FRENTE IZQUIERDA Y LOS TRABAJADORES - PERITO MORENO                                                 ;
3063;FRENTE IZQUIERDA Y LOS TRABAJADORES - PICO TRUNCAD;FRENTE IZQUIERDA Y LOS TRABAJADORES - PICO TRUNCADO                                                 ;
3064;FRENTE IZQUIERDA Y LOS TRABAJADORES - PUERTO DESEA;FRENTE IZQUIERDA Y LOS TRABAJADORES - PUERTO DESEADO                                                ;
3065;FRENTE IZQUIERDA Y LOS TRABAJADORES - PUERTO SANTA;FRENTE IZQUIERDA Y LOS TRABAJADORES - PUERTO SANTA CRUZ                                             ;
3066;FRENTE IZQUIERDA Y LOS TRABAJADORES - RIO GALLEGOS;FRENTE IZQUIERDA Y LOS TRABAJADORES - RIO GALLEGOS                                                  ;
3067;GALLEGOS MERECE ESTAR MEJOR - RIO GALLEGOS        ;GALLEGOS MERECE ESTAR MEJOR - RIO GALLEGOS                                                          ;
3068;GESTION INTEGRADORA SANTACRUCEÑA - SANTA CRUZ     ;GESTION INTEGRADORA SANTACRUCEÑA - SANTA CRUZ                                                       ;
3069;GESTION Y COMPROMISO - LOS ANTIGUOS               ;GESTION Y COMPROMISO - LOS ANTIGUOS                                                                 ;
3070;IGUALDAD, FUTURO Y COMPROMISO - PERITO MORENO     ;IGUALDAD, FUTURO Y COMPROMISO - PERITO MORENO                                                       ;
3071;JP OKTUBRE - LAS HERAS                            ;JP OKTUBRE - LAS HERAS                                                                              ;
3072;JUNTOS A LA VICTORIA - RIO TURBIO                 ;JUNTOS A LA VICTORIA - RIO TURBIO                                                                   ;
3073;JUNTOS PARA EL CAMBIO - RIO TURBIO                ;JUNTOS PARA EL CAMBIO - RIO TURBIO                                                                  ;
3074;JUNTOS PARA VIVIR MEJOR - GOB GREGORES            ;JUNTOS PARA VIVIR MEJOR - GOB GREGORES                                                              ;
3075;JUNTOS PODEMOS - 28 DE NOVIEMBRE                  ;JUNTOS PODEMOS - 28 DE NOVIEMBRE                                                                    ;
3076;JUNTOS POR EL CAMBIO - LOS ANTIGUOS               ;JUNTOS POR EL CAMBIO - LOS ANTIGUOS                                                                 ;
3077;JUNTOS POR EL CAMBIO - PROVINCIAL                 ;JUNTOS POR EL CAMBIO - PROVINCIAL                                                                   ;
3078;JUNTOS POR GREGORES - GOB GREGORES                ;JUNTOS POR GREGORES - GOB GREGORES                                                                  ;
3079;JUNTOS POR UN CAMBIO MEJOR - CTE. L .PIEDRA BUENA ;JUNTOS POR UN CAMBIO MEJOR - CTE. L .PIEDRA BUENA                                                   ;
3080;JUNTOS QUEREMOS CAMBIAR - PIEDRABUENA             ;JUNTOS QUEREMOS CAMBIAR - PIEDRABUENA                                                               ;
3081;JUVENTUD LA FUERZA DE PERITO - PERITO MORENO      ;JUVENTUD LA FUERZA DE PERITO - PERITO MORENO                                                        ;
3082;KOLINA INTEGRACION RIO GALLEGOS - RIO GALLEGOS    ;KOLINA INTEGRACION RIO GALLEGOS - RIO GALLEGOS                                                      ;
3083;KOLINA TRANSFORMANDO RIO GALLEGOS - RIO GALLEGOS  ;KOLINA TRANSFORMANDO RIO GALLEGOS - RIO GALLEGOS                                                    ;
3084;LA GENERACION DEL CAMBIO - RIO TURBIO             ;LA GENERACION DEL CAMBIO - RIO TURBIO                                                               ;
3085;LAS HERAS SOMOS TODOS - LAS HERAS                 ;LAS HERAS SOMOS TODOS - LAS HERAS                                                                   ;
3086;LEALTAD CON FE - PUERTO DESEADO                   ;LEALTAD CON FE - PUERTO DESEADO                                                                     ;
3087;LEALTAD Y COMPROMISO - LOS ANTIGUOS               ;LEALTAD Y COMPROMISO - LOS ANTIGUOS                                                                 ;
3088;MEJOR GESTION - PROVINCIAL                        ;MEJOR GESTION - PROVINCIAL                                                                          ;
3089;MERECEMOS ESTAR MEJOR - PROVINCIAL                ;MERECEMOS ESTAR MEJOR - PROVINCIAL                                                                  ;
3090;MILITANCIA SANJULIANENSE - SAN JULIAN             ;MILITANCIA SANJULIANENSE - SAN JULIAN                                                               ;
3091;MOVIMIENTO AL SOCIALISMO                          ;MOVIMIENTO AL SOCIALISMO                                                                            ;
3092;MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES         ;MOVIMIENTO SOCIALISTA DE LOS TRABAJADORES                                                           ;
